flow_rate_L_min,max_temperature_C,pressure_drop_kPa,thermal_resistance_K_W,pumping_power_W,Re
0.2,165.31421319756657,0.13295680360270176,0.20867655931613432,0.0004431893453423392,248.93882646691637
0.29655172413793107,153.35030265256827,0.19703030132892133,0.20817492750767225,0.000973827926108462,369.11619096818646
0.3931034482758621,146.98534791055192,0.2610329528184634,0.20736360555284125,0.0017102158977761396,489.29355546945635
0.48965517241379314,142.74219082742803,0.3249929508054309,0.20609559087611007,0.002652241322665011,609.4709199707263
0.5862068965517242,139.3612295381613,0.3889774163039475,0.20417417501407592,0.0038003540673374183,729.6482844719964
0.6827586206896552,136.2112037207397,0.4531178428173116,0.2013455978930858,0.005156168556196994,849.8256489732662
0.7793103448275862,132.88332159046794,0.5176479013924472,0.1973011197712813,0.00672347274222374,970.0030134745363
0.8758620689655172,129.06379131484493,0.5829572955481981,0.191697628729761,0.008509836383289789,1090.180377975806
0.9724137931034482,124.50311055097887,0.6496646936146201,0.18420761014244735,0.010529048482719705,1210.3577424770763
1.0689655172413792,119.03312057700299,0.7187099125513555,0.1746042789263223,0.012804601890282768,1330.535106978346
1.1655172413793102,112.608692219731,0.7914588196280404,0.16287061434898292,0.015374315001969981,1450.712471479616
1.2620689655172412,105.34788039779268,0.869802168267123,0.14929355235137243,0.01829583871182569,1570.8898359808861
1.3586206896551725,97.53843166117271,0.9562117077291595,0.13448496410767047,0.02165215016352235,1691.0672004821563
1.4551724137931035,89.5888306852969,1.0536980966999412,0.1192885421985987,0.025555206713067543,1811.2445649834262
1.5517241379310345,81.93334932303145,1.165608418163001,0.10459290244476974,0.03014504529731899,1931.4219294846957
1.6482758620689655,74.93173079939878,1.295226818566747,0.0911329003214295,0.03558151834913247,2051.599293985966
1.7448275862068965,68.80681769966857,1.4452146931380083,0.07936618818474833,0.04202750774297886,2171.776658487236
1.8413793103448275,63.63627451811817,1.6170306469730427,0.06945755223739378,0.04962611295882785,2291.9540229885056
1.9379310344827585,59.3842036667901,1.81054322897606,0.06134276980585434,0.058478465211755495,2412.131387489776
2.0344827586206895,55.94687764347155,2.0240164083491377,0.054820520896126275,0.06863044143252822,2532.308751991046
2.1310344827586207,53.193106190920936,2.2544970540782514,0.049633448157599264,0.08007351605864134,2652.486116492316
2.227586206896552,50.99141738692878,2.4984538273340715,0.04552276002063475,0.09275868807228796,2772.6634809935867
2.3241379310344827,49.224494572771405,2.7524286812139582,0.04225728545031739,0.10661706500794296,2892.840845494856
2.420689655172414,47.79457397573286,3.013508656604762,0.03964440679679061,0.1215794871802611,3013.018209996126
2.517241379310345,46.6236193131313,3.27954717498038,0.03753051494053392,0.13759019757101595,3133.1955744973957
2.613793103448276,45.65104166144261,3.54917151521835,0.03579653148834441,0.15461333382387987,3253.3729389986665
2.710344827586207,44.830620546676464,3.821661296649035,0.03435181578726905,0.1726336654693185,3373.5503034999365
2.806896551724138,44.127472206849745,4.096778892377984,0.03312815290192808,0.19165390910319996,3493.727668001206
2.903448275862069,43.51541998931341,4.374605274202079,0.03207453559551288,0.21169066901598563,3613.9050325024755
3.0,42.974861108686895,4.655406607188094,0.031152931078773875,0.23277033035940467,3734.082397003746
